position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
JEFE DE TESORERÍA,MUNICIPALIDAD DISTRITAL HUAYACUNDO ARMA,HUANCAVELICA - HUAYACUNDO ARMA,D. LEG. 1057 - D.U. 034-2023 (ESTADO DE EMERGENCIA)-3,1,"S/. 1,500.00",18/10/2024,22/10/2024,d4663bdc-b0a5-420a-9191-65d7111dccca
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,HUANCAVELICA - HUANCAVELICA,728-8,1,"S/. 4,672.11",18/10/2024,31/10/2024,a5064391-09c3-4b35-a764-d4df5d4162c9
JEFE DE LOGÍSTICA,MUNICIPALIDAD DISTRITAL HUAYACUNDO ARMA,HUANCAVELICA - HUAYACUNDO ARMA,D. LEG. 1057 - D.U. 034-2023 (ESTADO DE EMERGENCIA)-3,1,"S/. 1,800.00",18/10/2024,22/10/2024,eba1fdc3-e7d7-4875-811d-6f8e77fe922f
TRABAJADOR(A) SOCIAL,PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,HUANCAVELICA - CASTROVIRREYNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-261,2,"S/. 3,000.00",17/10/2024,30/10/2024,b9e64369-2bf0-42d0-86f0-9227cfa69729
TRABAJADOR DE SERVICIOS GENERALES - PERSONAL DE LIMPIEZA,GERENCIA SUB REGIONAL CASTROVIRREYNA,HUANCAVELICA - CASTROVIRREYNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 1,314.19",17/10/2024,30/10/2024,69460e74-c51c-4b89-b3a1-280a79dc0a06
OPERADOR DE COCINA,PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,HUANCAVELICA - CASTROVIRREYNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-261,2,"S/. 2,000.00",17/10/2024,30/10/2024,68de7f7b-b6f8-4f08-9f5e-503653578ad1
ESPECIALISTA EN PROCESOS Y PROCEDIMIENTOS,UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNANDEZ MORILLO,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-004,1,"S/. 3,114.19",17/10/2024,30/10/2024,9c82feb5-e991-49b3-9946-f1d6eba8b3c9
OBSTETRA,HOSPITAL DE PAMPAS DE TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-11,1,"S/. 3,014.19",17/10/2024,30/10/2024,a51c0ce7-ba80-45c7-ab2e-8d8bff6a05ab
JEFE DE LA UNIDAD DE SERVICIOS GENERALES,UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNANDEZ MORILLO,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 4,614.19",17/10/2024,30/10/2024,c00339e6-a2a1-4dc9-a48b-7148e0fca9a7
OBSTETRA,GERENCIA SUB REGIONAL CASTROVIRREYNA,HUANCAVELICA - ARMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 2,714.19",17/10/2024,30/10/2024,9de09f5e-70ac-4b1b-953c-9fc532466fae
PSICOLOGO,UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-009,1,"S/. 2,614.19",16/10/2024,29/10/2024,676fda1c-e1a5-4848-856c-fb3f71f1bdb3
COORDINADOR(A) DE INNOVACION Y SOPORTE TECNOLOGICO,UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-0009,2,"S/. 1,464.19",16/10/2024,29/10/2024,890298a4-a96c-4f29-b2bd-8a6ad69cee25
ESPECIALISTA EN RECURSOS HUMANOS,UNIDAD EJECUTORA 313 UNIDAD DE GESTION EDUCATIVA LOCAL CASTROVIRREYNA,HUANCAVELICA - CASTROVIRREYNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 3,014.19",15/10/2024,28/10/2024,16df18ab-befa-4b08-a939-9f1488842dd5
GESTORES LOCALES PARA LA UNIDAD TERRITORIAL HUANCAVELICA,PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-255,2,"S/. 2,000.00",15/10/2024,28/10/2024,bc24e995-e8b2-4ce7-bf83-23c8f457efc2
ESPECIALISTA EN ASISTENCIA TECNICA LOCAL EN HUANCAVELICA,"CENTRO NACIONAL DE ESTIMACION, PREVENCION Y REDUCCION DEL RIESGO DE DESASTRES (CENEPRED)",HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-97,1,"S/. 7,000.00",15/10/2024,28/10/2024,02d1e3fb-5b60-4646-9d68-d41b98d1ae11
ASISTENTE SOCIAL,MINISTERIO PUBLICO-GERENCIA GENERAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-65,1,"S/. 3,614.19",15/10/2024,28/10/2024,3323ecbe-1e4c-410f-9fb6-4b3c0f3610be
TECNICO EN FINANZAS II,GERENCIA SUB REGIONAL ACOBAMBA,HUANCAVELICA - ACOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-10,1,"S/. 1,314.19",15/10/2024,28/10/2024,38168633-bea9-4ecc-9e29-585cccf766cf
